Período,DEPARTAMENTO,SE SINTIERON ALGUNA VEZ DISCRIMINADOS,Numero Faltas
Ene 2016 - Jun 2016,LAMBAYEQUE,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.058720000000001
Ene 2016 - Jun 2016,LIMA,PARA ELEGIR AUTORIDADES,44.860720000000001
Ene 2016 - Jun 2016,LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,48.902979999999999
Ene 2016 - Jun 2016,PROVINCIA DE LIMA,PARA ELEGIR AUTORIDADES,44.765009999999997
Ene 2016 - Jun 2016,PROVINCIA DE LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,48.169510000000002
Ene 2016 - Jun 2016,PROVINCIA CONSTITUCIONAL DEL CALLAO,PARA ELEGIR AUTORIDADES,37.581380000000003
Ene 2016 - Jun 2016,PROVINCIA CONSTITUCIONAL DEL CALLAO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,45.675089999999997
Ene 2016 - Jun 2016,REGION LIMA,PARA ELEGIR AUTORIDADES,53.65605
Ene 2016 - Jun 2016,REGION LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.301589999999997
Ene 2016 - Jun 2016,LORETO,PARA ELEGIR AUTORIDADES,82.586910000000003
Ene 2016 - Jun 2016,LORETO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,78.689580000000007
Ene 2016 - Jun 2016,MADRE DE DIOS,PARA ELEGIR AUTORIDADES,58.285960000000003
Ene 2016 - Jun 2016,MADRE DE DIOS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,54.72587
Ene 2016 - Jun 2016,MOQUEGUA,PARA ELEGIR AUTORIDADES,27.87491
Ene 2016 - Jun 2016,MOQUEGUA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.628540000000001
Ene 2016 - Jun 2016,PASCO,PARA ELEGIR AUTORIDADES,36.722720000000002
Ene 2016 - Jun 2016,PASCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,46.297089999999997
Ene 2016 - Jun 2016,PIURA,PARA ELEGIR AUTORIDADES,65.697429999999997
Ene 2016 - Jun 2016,PIURA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,46.525179999999999
Ene 2016 - Jun 2016,PUNO,PARA ELEGIR AUTORIDADES,52.095579999999998
Ene 2016 - Jun 2016,PUNO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,50.34592
Ene 2016 - Jun 2016,SAN MARTÍN,PARA ELEGIR AUTORIDADES,66.033550000000005
Ene 2016 - Jun 2016,SAN MARTÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,68.593140000000005
Ene 2016 - Jun 2016,TACNA,PARA ELEGIR AUTORIDADES,67.181060000000002
Ene 2016 - Jun 2016,TACNA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.569999999999993
Ene 2016 - Jun 2016,TUMBES,PARA ELEGIR AUTORIDADES,36.252189999999999
Ene 2016 - Jun 2016,TUMBES,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,58.282730000000001
Ene 2016 - Jun 2016,UCAYALI,PARA ELEGIR AUTORIDADES,56.408859999999997
Ene 2016 - Jun 2016,UCAYALI,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.153219999999997
Feb 2016 - Jul 2016,AMAZONAS,PARA ELEGIR AUTORIDADES,66.533619999999999
Feb 2016 - Jul 2016,AMAZONAS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,72.055300000000003
Feb 2016 - Jul 2016,ANCASH,PARA ELEGIR AUTORIDADES,76.342590000000001
Feb 2016 - Jul 2016,ANCASH,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,80.296660000000003
Feb 2016 - Jul 2016,APURÍMAC,PARA ELEGIR AUTORIDADES,40.190440000000002
Feb 2016 - Jul 2016,APURÍMAC,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,56.625230000000002
Feb 2016 - Jul 2016,AREQUIPA,PARA ELEGIR AUTORIDADES,61.87368
Feb 2016 - Jul 2016,AREQUIPA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.306789999999999
Feb 2016 - Jul 2016,AYACUCHO,PARA ELEGIR AUTORIDADES,45.795839999999998
Feb 2016 - Jul 2016,AYACUCHO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,59.120890000000003
Feb 2016 - Jul 2016,CAJAMARCA,PARA ELEGIR AUTORIDADES,39.142569999999999
Feb 2016 - Jul 2016,CAJAMARCA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.460939999999994
Feb 2016 - Jul 2016,CUSCO,PARA ELEGIR AUTORIDADES,59.323990000000002
Feb 2016 - Jul 2016,CUSCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,34.77693
Feb 2016 - Jul 2016,HUANCAVELICA,PARA ELEGIR AUTORIDADES,70.043270000000007
Feb 2016 - Jul 2016,HUANCAVELICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,28.903729999999999
Feb 2016 - Jul 2016,HUÁNUCO,PARA ELEGIR AUTORIDADES,74.085089999999994
Feb 2016 - Jul 2016,HUÁNUCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,58.369450000000001
Feb 2016 - Jul 2016,ICA,PARA ELEGIR AUTORIDADES,50.454790000000003
Feb 2016 - Jul 2016,ICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.551740000000002
Feb 2016 - Jul 2016,JUNÍN,PARA ELEGIR AUTORIDADES,55.222709999999999
Feb 2016 - Jul 2016,JUNÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,38.98818
Feb 2016 - Jul 2016,LA LIBERTAD,PARA ELEGIR AUTORIDADES,63.152140000000003
Feb 2016 - Jul 2016,LA LIBERTAD,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.855770000000007
Feb 2016 - Jul 2016,LAMBAYEQUE,PARA ELEGIR AUTORIDADES,58.40401
Feb 2016 - Jul 2016,LAMBAYEQUE,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.956710000000001
Feb 2016 - Jul 2016,LIMA,PARA ELEGIR AUTORIDADES,45.500419999999998
Feb 2016 - Jul 2016,LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,47.239069999999998
Feb 2016 - Jul 2016,PROVINCIA DE LIMA,PARA ELEGIR AUTORIDADES,45.623510000000003
Feb 2016 - Jul 2016,PROVINCIA DE LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,46.10371
Feb 2016 - Jul 2016,PROVINCIA CONSTITUCIONAL DEL CALLAO,PARA ELEGIR AUTORIDADES,40.965739999999997
Feb 2016 - Jul 2016,PROVINCIA CONSTITUCIONAL DEL CALLAO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,47.632620000000003
Feb 2016 - Jul 2016,REGION LIMA,PARA ELEGIR AUTORIDADES,49.099299999999999
Feb 2016 - Jul 2016,REGION LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.395910000000001
Feb 2016 - Jul 2016,LORETO,PARA ELEGIR AUTORIDADES,82.512919999999994
Feb 2016 - Jul 2016,LORETO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,80.032870000000003
Feb 2016 - Jul 2016,MADRE DE DIOS,PARA ELEGIR AUTORIDADES,62.649819999999998
Feb 2016 - Jul 2016,MADRE DE DIOS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,50.755000000000003
Feb 2016 - Jul 2016,MOQUEGUA,PARA ELEGIR AUTORIDADES,30.408650000000002
Feb 2016 - Jul 2016,MOQUEGUA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.214669999999998
Feb 2016 - Jul 2016,PASCO,PARA ELEGIR AUTORIDADES,34.135620000000003
Feb 2016 - Jul 2016,PASCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,49.642150000000001
Feb 2016 - Jul 2016,PIURA,PARA ELEGIR AUTORIDADES,63.404089999999997
Feb 2016 - Jul 2016,PIURA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,52.437600000000003
Feb 2016 - Jul 2016,PUNO,PARA ELEGIR AUTORIDADES,49.056170000000002
Feb 2016 - Jul 2016,PUNO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,55.50976
Feb 2016 - Jul 2016,SAN MARTÍN,PARA ELEGIR AUTORIDADES,69.245109999999997
Feb 2016 - Jul 2016,SAN MARTÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,65.944640000000007
Feb 2016 - Jul 2016,TACNA,PARA ELEGIR AUTORIDADES,66.723920000000007
Feb 2016 - Jul 2016,TACNA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.155550000000005
Feb 2016 - Jul 2016,TUMBES,PARA ELEGIR AUTORIDADES,36.250030000000002
Feb 2016 - Jul 2016,TUMBES,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,59.620579999999997
Feb 2016 - Jul 2016,UCAYALI,PARA ELEGIR AUTORIDADES,57.772260000000003
