AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P613HN,P613H,P613H1,P613H2,P613H3,P613H4,P613H5,TICUEST01,D613H4,I613H4,FACTOR07,NCONGLOME,SUB_CONGLOME
2023,06,018307,015,11,150139,8,1,1,2, , , , , ,2, , ,1075.20373535156,46813,00
2023,06,018307,015,11,150139,8,1,2,1,1,3,1,2, ,2,526.351623535156,526.351623535156,1075.20373535156,46813,00
2023,06,018307,015,11,150139,8,1,3,1,1,2,1,1, ,2,263.175811767578,263.175811767578,1075.20373535156,46813,00
2023,07,015717,051,11,040128,6,4,1,2, , , , , ,2, , ,297.6689453125,46349,00
2023,07,015717,051,11,040128,6,4,2,1,1,2,1,2, ,2,525.103271484375,525.103271484375,297.6689453125,46349,00
2023,07,015717,051,11,040128,6,4,3,2, , , , , ,2, , ,297.6689453125,46349,00
2023,07,017833,051,11,150132,8,1,1,2, , , , , ,2, , ,1115.01550292969,47372,00
2023,07,017833,051,11,150132,8,1,2,1,6,5,1,3.5, ,2,727.342346191406,727.342346191406,1115.01550292969,47372,00
2023,07,017833,051,11,150132,8,1,3,2, , , , , ,2, , ,1115.01550292969,47372,00
2023,07,018284,098,11,150106,8,1,1,2, , , , , ,2, , ,808.439758300781,47213,00
2023,07,018284,098,11,150106,8,1,2,1,1,2,1,6, ,2,1558.5908203125,1558.5908203125,808.439758300781,47213,00
2023,07,018284,098,11,150106,8,1,3,2, , , , , ,2, , ,808.439758300781,47213,00
2023,07,018509,194,11,150204,2,7,1,2, , , , , ,2, , ,99.562370300293,16547,00
2023,07,018509,194,11,150204,2,7,2,1,5,2,1,4, ,2,623.436340332031,623.436340332031,99.562370300293,16547,00
2023,07,018509,194,11,150204,2,7,3,2, , , , , ,2, , ,99.562370300293,16547,00
2023,07,018509,195,11,150204,2,7,1,2, , , , , ,2, , ,99.562370300293,16547,00
